----------------------------------------------------------------------------------------------------
Marvellous\Marvellous2024_06_02_10_16_42.log Process Log
Log file created at :Sun Jun  2 10:16:42 2024
----------------------------------------------------------------------------------------------------
CONTENTS OF LOG FILE 
----------------------------------------------------------------------------------------------------
{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM'} 
{'pid': 15716, 'name': 'Code.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 15924, 'name': 'chrome.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 16024, 'name': 'Code.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 16232, 'name': 'jucheck.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 16268, 'name': 'dllhost.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 16440, 'name': 'AdobeCollabSync.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 16484, 'name': 'Code.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 16648, 'name': 'igfxEM.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 17088, 'name': 'ApplicationFrameHost.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 17244, 'name': 'svchost.exe', 'username': None} 
{'pid': 17616, 'name': 'OneDrive.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 17640, 'name': 'FileCoAuth.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 17728, 'name': 'ctfmon.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 17760, 'name': 'chrome.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 17812, 'name': 'Code.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 17836, 'name': 'svchost.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 18048, 'name': 'svchost.exe', 'username': None} 
{'pid': 18192, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 18252, 'name': 'AdobeCollabSync.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 18324, 'name': 'msedge.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 18368, 'name': 'StartMenuExperienceHost.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 18392, 'name': 'chrome.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 18496, 'name': 'msedge.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 18716, 'name': 'SearchApp.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 18728, 'name': 'esif_assist_64.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 18788, 'name': 'Microsoft.Media.Player.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 18844, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 19320, 'name': 'msedge.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 19544, 'name': 'taskhostw.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 19612, 'name': 'conhost.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 19628, 'name': 'chrome.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 19708, 'name': 'csrss.exe', 'username': None} 
{'pid': 19868, 'name': 'RAVBg64.exe', 'username': None} 
{'pid': 19944, 'name': 'SynTPEnh.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
----------------------------------------------------------------------------------------------------
